Unexplained	Promoter	Distal	gene	rank	pearson
4.45360015695507	0	95.5463998430449	Cox15	4619	-0.187072260175446
1.79394338380514	0	98.2060566161949	Dnmbp	3351	0.0753126785574857
1.01237345331834	0	98.9876265466817	Erlin1	2776	-0.0479246890129447
1.82475752096005	98.17524247904	0	Chuk	14470	0.264926171479239
2.95037123876514	39.409925752247	57.6397030089879	Cwf19l1	8004	-0.0125579670921346
0.893440836783613	0	99.1065591632164	Bloc1s2	2665	0.124007263489132
0	0	100	Scd2	1360	0.416043028581129
19.2994746059545	0	80.7005253940455	Sec31b	6608	0.0480788508222104
0.730420668199648	99.2695793318003	0	Ndufb8	13604	-0.156907258415644
0	0	100	Hif1an	715	0.27064295405761
0	0	100	Fam178a	551	-0.0390973869058717
25.0093457943925	0	74.9906542056075	Sema4g	6973	0.271176267765893
0.294384057971015	86.4809782608696	13.2246376811594	Peo1	10726	-0.3157158686525
2.77544154751892	0	97.2245584524811	Lzts2	3917	0.0865286977425449
0	0	100	Sfxn3	1399	0.0940487317150996
0.397764939861729	58.2630930959371	41.3391419642012	Dpcd	8906	0.105332070814796
1.40637775960752	0	98.5936222403925	Fbxw4	3075	-0.0434036607835086
3.29448677722994	39.9596593455849	56.7458538771851	Npm3	8062	-0.0417660641797399
0.890811911427844	89.8956477475185	9.2135403410537	Mgea5	11017	0.0343163186840882
3.92301998519615	0	96.0769800148039	Kcnip2	4427	-0.262584430918439
4.38303954263935	0	95.6169604573606	Hps6	4593	0.240500773276583
0.751703077284473	0	99.2482969227155	Ldb1	2516	-0.0836946925172233
0	100	0	Pprc1	12526	-0.344351581621053
0.333140208574739	99.6668597914253	0	Nolc1	13235	-0.277679259630177
13.0519165453663	86.9480834546337	0	Elovl3	16292	-0.0723114671059401
0	0	100	Nfkb2	1049	0.411512126923302
2.21985437755283	24.3473628129995	73.4327828094477	Psd	7073	0.308503667601238
6.97255059106391	28.3510318573432	64.6764175515929	Fbxl15	7592	0.255456874723596
1.1302337528898	0	98.8697662471102	Cuedc2	2867	0.187523763197257
14.0443505807814	85.9556494192186	0	2310034G01Rik	16340	0.0774309761800326
3.46197502837684	0	96.5380249716232	Tmem180	4235	0.508555650877214
13.5263157894737	0	86.4736842105263	Actr1a	6118	0.0532801248181
0	65.5284552845528	34.4715447154472	Sufu	9276	-0.033437779817335
0.705601389491967	0	99.294398610508	Trim8	2460	0.10203666706647
4.25951189934819	38.7600424435349	56.9804456571169	Sfxn2	8046	0.0975554502943063
0.379241516966068	5.02994011976048	94.5908183632735	Borcs7	4902	0.277870478683434
0	0	100	As3mt	159	0.450680640032884
0.56694286960314	37.5926733536851	61.8403837767117	Nt5c2	7756	0.0490697280552819
1.92120622568093	37.1352140077821	60.943579766537	Pcgf6	7811	0.574827027781457
1.57122183171387	98.4287781682861	0	Pdcd11	14293	-0.392519556071253
0	0	100	Calhm2	224	0.367095486079178
7.465825446898	0	92.534174553102	Neurl1a	5339	0.131384239013432
0.101874490627547	0	99.8981255093725	Sh3pxd2a	1868	0.502602271104489
6.90036900369004	0	93.09963099631	Gm19557	5231	0.612145667890493
0	100	0	Obfc1	12445	-0.0640732231787693
0.392613058019485	0	99.6073869419805	Slk	2141	0.0511893958701275
6.36501407231002	0	93.63498592769	Sfr1	5114	0.132670581942842
48.1370192307692	0	51.8629807692308	Cfap43	8335	0.00611342631567041
0	0	100	Gsto1	688	0.648805232608214
14.9202127659574	85.0797872340426	0	Gsto2	16373	-0.0121023201226314
0.787671232876712	0	99.2123287671233	Itprip	2552	0.202607312488755
0	100	0	Cfap58	11898	-0.110728941691721
2.26670903505984	97.7332909649402	0	Sorcs1	14718	0.134901180234127
99.5019920318725	0	0.49800796812749	AA387883	17111	-0.122667429484266
1.23392783077561	98.7660721692244	0	Xpnpep1	14020	0.564636885905522
0	0	100	Add3	79	0.124532531390353
3.14642292142732	0	96.8535770785727	Mxi1	4100	0.204111637822416
6.76424927921934	93.2357507207807	0	Smndc1	15898	-0.103739196863613
0	0	100	Mirt1	975	0.723294067171816
0.171928727727415	0	99.8280712722726	Dusp5	1930	0.253890529060275
0	100	0	Smc3	12709	0.264590093435159
13.0973451327434	8.67256637168142	78.2300884955752	Rbm20	6770	0.116935712258361
0	0	100	Pdcd4	1114	0.00302012694503934
1.1011011011011	92.8213928213928	6.07750607750608	Bbip1	11304	0.269637360275946
