Unexplained	Promoter	Distal	gene	rank
0.349932575258767	31.5457967026654	68.1042707220758	1300002E11Rik	7422
1.11102689527245e-05	31.9141275757964	68.0858613139346	1700028I16Rik	7423
3.08901311249421	28.8383536243965	68.0726332631093	Trib3	7424
3.13078350089042	28.8247505589636	68.044465940146	Fkbp1b	7425
31.9699780270722	4.66367989060872e-05	68.0299753361289	Tnfsf15	7426
31.9816613038956	4.4513559163973e-05	68.0182941825452	Trim45	7427
1.81559423975779	30.1737985780885	68.0106071821537	Gcat	7428
0.107259117502646	31.9263003168497	67.9664405656477	Mat2b	7429
32.0745134625596	4.78756451183335e-05	67.9254386617953	Smco3	7430
1.7992898925061	30.3140349906667	67.8866751168272	Naalad2	7431
32.1545478431718	4.59753098793355e-05	67.8454061815183	Rp1	7432
0.692665089453695	31.4639387698557	67.8433961406906	Slc9a5	7433
1.63485076761772	30.5589876421938	67.8061615901884	Ccl6	7434
13.762365844904	18.4378678296323	67.7997663254637	Prpf38a	7435
4.83035943000699	27.3779020886042	67.7917384813888	Mettl15	7436
26.9061788410181	5.30957010730659	67.7842510516754	1700084E18Rik	7437
0.430588704289251	31.7991568802355	67.7702544154753	Stxbp3	7438
14.0522125056298	18.1964424284389	67.7513450659312	Gm16982	7439
8.6092676598461	23.6706065473597	67.7201257927942	Gnpda2	7440
32.2817369879492	4.61016852885972e-05	67.7182169103656	4930447M23Rik	7441
2.42382848971935	29.8763258811911	67.6998456290896	Ankib1	7442
2.23256694519428e-05	32.302644989037	67.6973326852936	B3gnt5	7443
3.05224785998509e-05	32.3033736587164	67.696595818805	Parp1	7444
0.819049731018578	31.4909914823459	67.6899587866355	Tor1aip1	7445
32.3235394037134	4.92642483044231e-05	67.6764113320383	Lhfpl3	7446
2.7051056585015	29.6365039322905	67.658390409208	Zfp583	7447
17.2994451052276	15.0535919474573	67.6469629473151	Msl3l2	7448
1.62635414515305e-05	32.3624844790925	67.637499257366	Rtn3	7449
2.17629196645619	30.1946389455423	67.6290690880015	Slc29a1	7450
1.45926192842442	30.914071459516	67.6266666120596	Dnajb6	7451
32.3891936448067	5.18160193472726e-05	67.610754539174	Gm3704	7452
32.3986327502004	4.76792369796348e-05	67.6013195705627	Cfap77	7453
5.71499212576927	26.6933858887095	67.5916219855212	Cdk18	7454
32.4516676839137	4.45932809609031e-05	67.5482877228053	Tigd5	7455
32.4538544352703	5.42633639812813e-05	67.5460913013657	Slain1os	7456
0.746602621672068	31.7361556647202	67.5172417136078	Snd1	7457
1.252421367517	31.2310613284511	67.5165173040319	Kdm5a	7458
3.06495334957105e-05	32.4914264059952	67.5085429444713	Mgst1	7459
1.90729741981479	30.6161536097122	67.476548970473	Dcun1d3	7460
2.10758345095595	30.4268085020169	67.4656080470272	Rom1	7461
2.29879355406334e-05	32.5351194162333	67.4648575958311	Whsc1l1	7462
32.5835700933943	4.36678972571233e-05	67.4163862387085	Homer2	7463
32.5948370028805	4.73363728333905e-05	67.4051156607467	Fam3b	7464
5.386111575228	27.2498568706626	67.3640315541094	Pfdn2	7465
9.45605450909215	23.1880319373524	67.3559135535555	Man2c1os	7466
3.74415424119376	28.9139629845853	67.3418827742209	Gm13157	7467
1.6619717073914e-05	32.6754506968116	67.3245326834714	Bcl9l	7468
1.26227269876831e-05	32.6984156357012	67.3015717415718	Armcx3	7469
3.88537009592899	28.844645537254	67.2699843668171	Ppp2r3d	7470
2.39487796672714	30.3406613437045	67.2644606895683	Hpgds	7471
2.02096247367747e-05	32.7461298871773	67.2538499031979	Igsf23	7472
32.7525495959085	5.08518214029112e-05	67.2473995522701	Gipc3	7473
6.99492100281523	25.8084315499468	67.196647447238	1110020A21Rik	7474
32.8183644679641	4.58301422187224e-05	67.1815897018937	Dpf3	7475
2.47437953201169e-05	32.8823512702425	67.1176239859622	Zcchc11	7476
0.900955160465825	31.9979860621241	67.1010587774101	Npas2	7477
0.895702351630857	32.0111041152104	67.0931935331587	Nkiras2	7478
0.502898247600415	32.4044869673315	67.0926147850681	Zkscan6	7479
32.9660131316215	4.86068310096028e-05	67.0339382615475	Gm14124	7480
7.35528362359625	25.6322559265211	67.0124604498827	4933431G14Rik	7481
1.59101521885608e-05	32.9898612555178	67.01012283433	Wdfy1	7482
1.47871692210145	31.5348374029205	66.986445674978	Snai1	7483
2.88373473518779	30.14985553727	66.9664097275422	Vrk3	7484
2.19004654505922e-05	33.0486236323981	66.9513544671365	Rbl2	7485
15.4246045282024	17.6432493591079	66.9321461126897	Nphp4	7486
1.78880673237637	31.2803596640954	66.9308336035283	Tmem29	7487
1.60604824922271e-05	33.0882171788381	66.9117667606794	Per1	7488
2.48350419262694e-05	33.1203397354263	66.8796354295317	Iqgap2	7489
33.1330918264459	4.84506053588211e-05	66.8668597229488	Ranbp3l	7490
5.51079164940864	27.6449227081754	66.844285642416	Zbtb21	7491
33.2873114787243	4.75056132632632e-05	66.7126410156624	2410017I17Rik	7492
6.21183315146959	27.1736477120314	66.614519136499	Efcab5	7493
33.3897472614098	4.62396612741357e-05	66.6102064989289	4930413G21Rik	7494
1.14869296274435	32.244531430682	66.6067756065737	Pias4	7495
2.64831621818495	30.7457824065723	66.6059013752427	Mad2l1bp	7496
1.85691404023662e-05	33.3971579447817	66.6028234860779	Lpcat4	7497
2.28318305764925e-05	33.4172699920817	66.5827071760877	Gnptg	7498
33.4557790386155	4.55453753544683e-05	66.5441754160092	Hr	7499
14.4981393707131	19.0046147234923	66.4972459057946	Fbxo36	7500
2.70011569995774e-05	33.5085654420292	66.4914075568138	Cd53	7501
4.10588716955165	29.4143423676549	66.4797704627935	Rnf217	7502
33.5477154998949	4.34083300498549e-05	66.4522410917751	Cdh6	7503
3.9709526402745e-05	33.5598510320943	66.4401092583793	Prcp	7504
1.27604619899926	32.290600422609	66.4333533783917	Xrn1	7505
33.5945760188612	5.44440855974269e-05	66.4053695370532	Cnih2	7506
33.6277180442087	5.6868351983025e-05	66.3722250874394	Zscan2	7507
0.289876650809556	33.3488046718908	66.3613186772996	Prdx5	7508
0.690544350434807	32.9499098037732	66.359545845792	Lilra6	7509
1.4791671267231	32.2008259906075	66.3200068826694	Epb41l3	7510
1.43536037557065e-05	33.6898242207446	66.3101614256516	Cyp4f14	7511
1.22090345725632	32.4770806446103	66.3020158981334	Helz	7512
4.08032934055952	29.6204447830888	66.2992258763517	Cep112	7513
0.954099954461193	32.7474171964249	66.2984828491139	Zfp664	7514
6.66570500466656	27.0366129827759	66.2976820125575	Klhl5	7515
33.7169147753297	4.81926596025224e-05	66.2830370320107	Ube2ql1	7516
0.543067353255682	33.1742555818584	66.2826770648859	Ythdf2	7517
33.7586632826184	4.82140573001892e-05	66.2412885033243	Brd1	7518
4.30878166135639	29.4602576270353	66.2309607116084	Psd3	7519
1.58752681451854e-05	33.7821673811437	66.2178167435882	Car5b	7520
33.7857937135166	4.94283341302005e-05	66.2141568581492	Ccdc136	7521
0.0339546322823933	33.8049756690033	66.1610696987143	Dock4	7522
33.8393974418496	4.8447431799218e-05	66.1605541107186	Pou3f2	7523
0.474196552597736	33.3669283405044	66.1588751068979	Kctd6	7524
1.76968857325436	32.0761168069172	66.1541946198284	Slc4a7	7525
1.58808927958426e-05	33.8465577339059	66.1534263852013	Pfn1	7526
2.66406408692266	31.214362733341	66.1215731797364	Jund	7527
1.41096960293157e-05	33.9314682751457	66.0685176151583	Apoa4	7528
18.2581082798752	15.6770402396339	66.0648514804908	Gm11517	7529
2.97565864040671	30.9814667377275	66.0428746218658	Lca5	7530
2.64577555697578	31.3149409043769	66.0392835386473	Rnf139	7531
1.29017849684013e-05	33.9965698024305	66.0034172957846	Plac8	7532
18.0044131157212	15.9952512159255	66.0003356683533	Gm13986	7533
34.0225869741042	5.36263131877508e-05	65.9773593995826	Ces2d-ps	7534
34.0329473982858	4.82672212377318e-05	65.967004334493	Fut9	7535
0.262787698515303	33.7845581807451	65.9526541207396	Jmjd1c	7536
13.179198680399	20.8915541329175	65.9292471866834	Nemf	7537
1.16480539112936e-05	34.1061133750981	65.893874976848	Zfp90	7538
1.5332807244273e-05	34.1189751324712	65.8810095347215	Zfp36l2	7539
1.44453811821151	32.6979114889899	65.8575503927986	Mfsd1	7540
3.17007212302546	31.0191021708786	65.8108257060959	Pomt2	7541
34.2066377884715	4.9799150067946e-05	65.7933124123784	4932413F04Rik	7542
34.2128909809297	4.73955774712706e-05	65.7870616234928	4930529C04Rik	7543
2.61569404394172e-05	34.2241541505925	65.7758196924671	Cyfip2	7544
1.31612219694749	32.9172000679481	65.7666777351045	Bud31	7545
0.637895075112276	33.6077556439985	65.7543492808892	Sec13	7546
4.13571319065278	30.1123762133174	65.7519105960298	Sat2	7547
12.9715001140318	21.2825547436907	65.7459451422774	AW209491	7548
3.7201652665009	30.5685291365141	65.711305596985	Cfap45	7549
5.45658551646143	28.8464381393303	65.6969763442083	Opn3	7550
0.14802581299926	34.1671217111436	65.6848524758571	Fam89b	7551
1.22868233084282e-05	34.3783608301381	65.6216268830386	Tbpl1	7552
4.23943381453477	30.1583976643555	65.6021685211098	Kcnj1	7553
3.3540771826825e-05	34.4008611928574	65.5991052663708	Fam189b	7554
4.868286036539	29.540729915208	65.590984048253	Pgap3	7555
0.949734927131259	33.4811118333458	65.569153239523	Clcn4	7556
2.58849206644007e-05	34.4634189253611	65.5365551897182	Map4k2	7557
2.58900821213548	31.8924350288395	65.518556759025	C77080	7558
34.5946164097826	5.00100345134251e-05	65.4053335801829	Drd5	7559
34.5994666374083	5.02376037707944e-05	65.4004831249879	Clhc1	7560
2.1129131043568e-05	34.6012171266905	65.3987617441785	Elmsan1	7561
0.87466966378555	33.7339799567675	65.391350379447	Atp5sl	7562
2.41726937854156e-05	34.6141517150297	65.3858241122766	Dlgap4	7563
0.912700631713906	33.7208733799288	65.3664259883573	Xab2	7564
5.64737698214825	29.0158587604682	65.3367642573835	Ube2cbp	7565
2.88896279313299	31.787714709431	65.323322497436	Rnf138	7566
2.44860848273395e-05	34.700981563888	65.2989939500271	Kmt2d	7567
1.86500834765081	32.8427635286436	65.2922281237056	Hps5	7568
1.7078909671244	33.0134166881543	65.2786923447213	Rnf115	7569
2.01654226079715e-05	34.7313671293448	65.2686127052326	Ier3	7570
1.41873145834308	33.3245356773184	65.2567328643385	Ybx3	7571
1.17008918031379	33.6544487056053	65.1754621140809	Tas1r1	7572
7.47703628649772	27.3809194647857	65.1420442487166	E130012A19Rik	7573
0.439748022683655	34.4272965932034	65.1329553841129	Plekhg1	7574
2.42639774946181	32.4888124459145	65.0847898046237	Zfp825	7575
5.18219933836524	29.760863449169	65.0569372124657	Irf1	7576
34.9531800263593	4.60778892345601e-05	65.0467738957515	Gm14634	7577
3.08144569106042e-05	34.9622183943819	65.0377507911612	Gja4	7578
3.23032393696619	31.7347205088203	65.0349555542135	Rnf38	7579
1.06522570886457e-05	34.9928307114116	65.0071586363313	Tmem154	7580
1.49096190614319	33.5178898773472	64.9911482165096	Xpo5	7581
35.0219229382276	4.7542289460754e-05	64.978029519483	Mgat4c	7582
1.06888265708922e-05	35.0446133984505	64.9553759127229	Serf2	7583
11.9241723491475	23.1582061631765	64.917621487676	Tmem129	7584
1.74737100605812e-05	35.0856127045475	64.9143698217425	Ptprf	7585
1.25132124015504	33.8578393837056	64.8908393761393	Il1rl1	7586
0.810704713151786	34.3071370609931	64.8821582258551	Carhsp1	7587
35.1455302601235	4.94344281230089e-05	64.8544203054484	Ceacam2	7588
1.6062049109169e-05	35.1677906701243	64.8321932678266	Zfp217	7589
9.0823274615475	26.1176032967042	64.8000692417483	Slfn9	7590
2.59188678019967	32.6282354705776	64.7798777492227	Gch1	7591
6.96850436689425	28.3511506892816	64.6803449438242	Fbxl15	7592
2.26489644523181	33.0738678579778	64.6612356967904	Bloc1s1	7593
35.3440998738171	4.72064854157924e-05	64.6558529196975	Gm2897	7594
0.859623584669443	34.4854752843924	64.6549011309382	Rfx3	7595
35.3465469216076	5.19531393074075e-05	64.653401125253	B3gnt4	7596
1.6877888661193e-05	35.3866758891951	64.6133072329162	Slc27a4	7597
2.16783425757338	33.2231968091759	64.6089689332507	Atf6b	7598
4.42308626392723	31.0314776754243	64.5454360606485	Kctd3	7599
4.56758170605614	30.9092042989732	64.5232139949706	Ptges	7600
1.30225744244035e-05	35.4951531801153	64.5048337973103	Aaed1	7601
8.75774115015193	26.7381897535153	64.5040690963328	B4galnt2	7602
35.4973728918286	4.9352047103173e-05	64.5025777561243	Cntn2	7603
1.63702959710046	33.8810912469666	64.4818791559329	Mien1	7604
35.5222985031592	4.97124136868217e-05	64.4776517844271	Vwce	7605
1.25788471594399	34.2700932278341	64.4720220562219	Timd4	7606
35.5341431727224	4.93423406131378e-05	64.465807484937	Gm15941	7607
35.5400114987694	5.01647737240126e-05	64.4599383364568	Mroh2a	7608
2.52864109588473e-05	35.6133028065666	64.3866719070225	BC028528	7609
3.24037728677736	32.3926490883031	64.3669736249196	Wdr55	7610
1.38578478870323e-05	35.6609154796415	64.3390706625106	Wbp1l	7611
2.51865918230848	33.144944717794	64.3363960998975	Pus10	7612
35.7094163087334	5.31926324374205e-05	64.2905304986341	Ppp1r32	7613
0.264547050153584	35.4504828632039	64.2849700866425	Mthfs	7614
0.282639782546955	35.4415433847986	64.2758168326545	Kctd2	7615
9.42776727782138	26.318826544884	64.2534061772946	Zfp451	7616
35.7814215445916	4.98812079033781e-05	64.2185285742005	1700008J07Rik	7617
1.5962355657406e-05	35.7817304294935	64.2182536081508	Tspan13	7618
0.992739807045657	34.8136839515893	64.193576241365	Cdk5rap3	7619
3.3082262723982	32.503625272422	64.1881484551798	Kras	7620
9.57735872555467e-06	35.8302264142194	64.1697640084219	Med13l	7621
2.78200836243894e-05	35.8760704298801	64.1239017500363	Cd302	7622
3.9201309342874	31.9753471952044	64.1045218705082	Stxbp4	7623
1.28451156633944e-05	35.9373928034957	64.0625943513886	Sec61b	7624
1.29925343078912e-05	35.9663687210037	64.0336182864619	Mif	7625
4.0508765740624	31.9194270895953	64.0296963363423	Fmnl2	7626
1.86345994041996	34.1160140226628	64.0205260369172	Ankrd13c	7627
2.72859299102859	33.2969107467293	63.9744962622421	Ctu1	7628
0.890735030141099	35.1399718087407	63.9692931611182	Igip	7629
1.93841595141698	34.1306219146664	63.9309621339166	Stk3	7630
1.31373353256365e-05	36.0836909742972	63.9162958883674	Mturn	7631
0.553895972645968	35.5594194454812	63.8866845818728	Uba1	7632
1.2644944724161	34.8644325511269	63.871072976457	Dach1	7633
4.09528961055963	32.0463999743737	63.8583104150667	Jazf1	7634
2.28674930904116	33.8931241010744	63.8201265898844	Osgin2	7635
1.48804149588228e-05	36.186687126642	63.813297992943	Smpdl3b	7636
2.36149509103551	33.8268387006033	63.8116662083612	Kdelc2	7637
1.8016320588462e-05	36.2039457579753	63.7960362257041	Sepp1	7638
1.08964117504726	35.1315581439313	63.7788006810215	Plekhf2	7639
2.16386500509854	34.0723889042756	63.7637460906258	Prodh	7640
8.86445961268419	27.4454307388102	63.6901096485056	Zbtb11os1	7641
6.83101267989508	29.4875227824709	63.681464537634	2610528A11Rik	7642
4.73165717573737	31.5987688903078	63.6695739339548	Glis3	7643
36.3618581547777	4.89864699370034e-05	63.6380928587524	Gm13498	7644
6.77688160412298	29.5932307369537	63.6298876589233	Fdxacb1	7645
1.55009579437e-05	36.3999291792233	63.6000553198187	Srp19	7646
1.57561616754875e-05	36.4131892056301	63.5867950382082	Chd3os	7647
0.0597671598407603	36.3614737189803	63.578759121179	Gm13212	7648
11.8558457196957	24.5675079519059	63.5766463283983	Ceacam19	7649
1.83145373414989	34.6047193021866	63.5638269636636	Slc5a1	7650
0.673342389115347	35.8480119786811	63.4786456322036	Wnt6	7651
1.37999832633803e-05	36.5293836971635	63.4706025028533	Creb3l2	7652
8.27281827741188	28.2936439006002	63.4335378219879	Ltbp1	7653
23.254170367636	13.3170743874578	63.4287552449063	Ube4bos3	7654
36.5802800104202	5.01936722845098e-05	63.4196697959075	Catsperb	7655
2.11332551698758e-05	36.5907984919394	63.4091803748055	Inip	7656
36.623127317498	5.67475247013463e-05	63.3768159349773	Agrp	7657
9.69431827154571e-06	36.6350391148777	63.364951190804	Anks3	7658
36.6504154073538	4.91519083965714e-05	63.3495354407378	Magi2	7659
4.40913880436325e-05	36.6587660778144	63.3411898307975	Sla2	7660
1.3344059822381e-05	36.6844617710834	63.3155248848568	Inadl	7661
8.92887085911759	27.7603579108796	63.3107712300028	Kat7	7662
7.18265076283153	29.5190127140557	63.2983365231128	Scd4	7663
36.7055767454557	4.91423311795069e-05	63.2943741122131	4931403G20Rik	7664
5.11716057791532	31.6008145627216	63.2820248593631	Ppp3cb	7665
29.6721021665608	7.0516396866912	63.276258146748	Slc25a18	7666
0.302385414632465	36.4227397828911	63.2748748024764	Adamts6	7667
0.252569772825409	36.4850657161541	63.2623645110205	Mrpl9	7668
36.7551391631104	4.78455576021759e-05	63.244812991332	4933440M02Rik	7669
36.7578242263328	5.01745144875649e-05	63.2421255991527	Mex3d	7670
1.50403469485473	35.2568098915124	63.2391554136328	Uba6	7671
6.48181123008627	30.2821196230994	63.2360691468143	Zfp575	7672
4.67192315251798	32.1075131665857	63.2205636808963	Gm38426	7673
36.7856830950717	4.76973234694633e-05	63.2142692076048	Pnma2	7674
0.22040709166126	36.5950664421299	63.1845264662088	Cap1	7675
36.8301950213738	4.83783551175422e-05	63.1697566002711	Wnt3	7676
1.30204752702634e-05	36.8376132677185	63.1623737118063	Slc17a9	7677
2.4004507854539e-05	36.8421186551465	63.1578573403457	Fryl	7678
1.08040348705411e-05	36.9722770517989	63.0277121441663	Nr3c1	7679
36.9949772331986	4.87543126846143e-05	63.0049740124887	Fam71f2	7680
0.205594449782067	36.8529503074732	62.9414552427448	St13	7681
37.059142345121	5.62343541968036e-05	62.9408014205248	2010001A14Rik	7682
1.65129649446594	35.4087663812648	62.9399371242692	Cdkn1b	7683
1.49678039543381e-05	37.1143043889732	62.8856806432228	Mmp9	7684
0.698247948873914	36.4178233359816	62.8839287151445	Zfp950	7685
37.1291514532369	5.21752378408217e-05	62.8707963715253	Ush2a	7686
8.88595955200007	28.304688718853	62.8093517291469	Car7	7687
37.1913223696054	5.2272614649003e-05	62.8086253577799	Serpinb6c	7688
37.2004077264006	5.64186639484907e-05	62.7995358549354	Nrn1l	7689
1.21196798054764	35.9927308601544	62.7953011592979	Slc25a38	7690
37.2097811343879	5.03270072788454e-05	62.7901685386049	Islr2	7691
5.38068084803513	31.8417732996186	62.7775458523462	Cbfb	7692
0.699556295101558	36.5245786014098	62.7758651034886	Slc25a51	7693
1.60448143216269e-05	37.2265155382073	62.7734684169784	Car6	7694
2.67133724455942	34.5617735497904	62.7668892056501	Mepce	7695
9.1137693242099e-06	37.2347329212178	62.7652579650129	Rbfa	7696
2.14157351831219	35.1204887880732	62.7379376936146	Rab35	7697
1.61776400650775e-05	37.262972699925	62.7370111224349	Ndrg3	7698
0.57831234131057	36.6849078289036	62.7367798297858	Gimap9	7699
